account_id,user_id,account_type,provider,card_number,balance,currency,is_active,open_date
1,164,e-Wallet,Linkbuzz,5100145596893785,632.44185223,USD,true,2020-10-07
2,69,e-Wallet,Gevee,3545717877225107,4931.8792150883,USD,false,2024-03-23
3,180,e-Wallet,Eare,56022469878796583,2696.0443201179,USD,false,2015-01-09
4,120,Bank,Babbleopia,3588902421388977,3433.2620791837,USD,false,2022-02-25
5,1,Card,BlogXS,3554858274727309,2136.9503325275,USD,false,2018-03-29
6,151,Bank,Meembee,3585498548982183,3665.9763854509,USD,false,2023-03-13
7,177,e-Wallet,Dynabox,3562977450168474,4156.0560966389,USD,true,2025-03-26
8,100,Bank,Brainsphere,3584463787487543,1662.7266138497,USD,true,2016-06-09
9,171,Bank,Lazzy,30481746857610,281.882145807,USD,true,2024-08-09
10,131,Card,Eare,5007665272383334,2541.0631975224,USD,true,2018-05-11
11,44,Card,Youtags,371508864524122,1257.3523695863,USD,true,2018-12-18
12,164,Card,Quire,5602252069831715,824.2617860472,USD,true,2023-05-11
13,18,e-Wallet,Dynabox,5610715104390871,4820.434715714,USD,false,2017-08-03
14,167,Bank,Miboo,3534330177510203,1492.0609645149,USD,true,2018-11-11
15,86,e-Wallet,Edgepulse,5108755458574851,426.186450925,USD,true,2018-08-04
16,38,Bank,Tekfly,3569906314074316,478.9418405756,USD,true,2022-11-17
17,47,e-Wallet,Tagtune,4405935967670050,3164.9054959044,USD,true,2020-04-02
18,114,Card,Voomm,3588059647549773,4702.1747123874,USD,false,2025-01-24
19,9,Card,Shuffletag,3531844420071428,2758.6170649718,USD,true,2016-06-24
20,166,Card,Omba,3550194810252089,4594.333965046,USD,true,2018-01-15
21,146,Card,Skipfire,6762846019133553,2861.6383789871,USD,true,2015-08-15
22,104,Bank,Jaxworks,675914795090543330,619.6580875155,USD,false,2021-02-27
23,106,e-Wallet,Flipbug,3542250107226391,4011.8184789561,USD,false,2025-11-10
24,100,Bank,Mybuzz,3535652221709104,389.5961031516,USD,true,2018-04-10
25,142,Bank,Skyble,201650865598733,440.3617965512,USD,true,2017-01-27
26,160,e-Wallet,Livepath,3537992225730195,2476.062895518,USD,false,2017-04-24
27,87,e-Wallet,Ntags,5038320571526307,928.7355880302,USD,false,2024-04-25
28,117,e-Wallet,Rooxo,67061837963430426,3342.679680586,USD,true,2016-04-08
29,190,e-Wallet,Jayo,3558784304385452,4968.4936288759,USD,true,2024-11-30
30,26,Bank,Katz,30518734905560,3799.0961349021,USD,false,2023-08-22
31,192,Card,Edgewire,3548766016195348,335.8965188954,USD,false,2021-05-21
32,189,Bank,Eadel,3535556018268325,3354.4380185097,USD,true,2023-07-05
33,52,Bank,Gabspot,4017958728167810,4460.7589682857,USD,true,2020-11-22
34,52,Card,Voomm,5493709085865458,3457.3189422133,USD,false,2024-09-24
35,34,Bank,Zoomcast,3579125214878910,3192.6615195802,USD,true,2025-03-14
36,193,e-Wallet,Tagcat,3585319319719358,1031.1343243802,USD,true,2025-10-15
37,181,Card,Topicblab,5259887105260373,4765.4209293257,USD,false,2017-05-27
38,85,Bank,Edgeify,4917661350203595,3560.0409818534,USD,true,2017-11-13
39,155,Card,Meejo,30534387468558,4524.5322514986,USD,false,2017-07-05
40,83,Bank,Skiba,3536879943290779,4107.6893762011,USD,false,2022-12-22
41,197,e-Wallet,Skivee,374283370934796,2766.7227890674,USD,false,2021-06-02
42,143,Bank,Rhynoodle,3538627492504746,4275.3237910553,USD,false,2023-10-06
43,160,Bank,Aibox,5108750028783108,2141.7838531807,USD,false,2024-12-21
44,157,e-Wallet,Eadel,3548833750842202,3555.9850538826,USD,true,2017-12-27
45,151,Card,Buzzbean,3564885624850687,4050.4366964528,USD,false,2017-10-25
46,146,Bank,Riffpedia,3572295327496459,218.6966767941,USD,false,2018-03-14
47,109,e-Wallet,Digitube,3578719259530666,820.2855225986,USD,true,2025-09-23
48,60,Card,Bluejam,3531430677880511,2516.5196386955,USD,true,2017-11-04
49,6,e-Wallet,Riffpedia,3541413033363776,500.1174324963,USD,false,2020-10-10
50,104,e-Wallet,Browsedrive,30329996448947,2891.6370125656,USD,false,2024-11-28
51,58,e-Wallet,Linkbuzz,3574134382155478,4636.7218728293,USD,true,2023-01-27
52,50,Card,Jetpulse,3585401925759281,102.6660248175,USD,false,2016-05-22
53,111,Card,Livepath,4405260273937832,4459.7405348081,USD,false,2016-04-21
54,160,Card,Omba,3548867368192246,3862.5811100899,USD,false,2016-01-10
55,26,Bank,Abata,3559045396606851,4412.6968263478,USD,false,2020-10-30
56,154,e-Wallet,Quinu,3553877949858464,4475.5578763084,USD,true,2019-09-06
57,52,Card,Vidoo,30341860390287,1762.5193168498,USD,true,2024-05-17
58,137,Card,Yakidoo,3555384752518804,1263.4237087983,USD,true,2025-09-26
59,112,Card,Voonder,3572079669529741,1349.386712278,USD,false,2016-07-22
60,158,Card,Wordpedia,4508825857291586,4302.6532856038,USD,false,2021-02-24
61,150,Card,Browsecat,490580461521827456,450.1944652611,USD,false,2024-08-08
62,116,e-Wallet,Kimia,3572188345392802,4211.7196158997,USD,true,2024-01-21
63,97,Card,Zoombeat,3585952851627595,233.6831559695,USD,true,2022-03-23
64,19,e-Wallet,Twimm,3553594515646138,2362.6430659054,USD,true,2021-04-22
65,163,Bank,Tavu,6392710824775545,2521.7665145511,USD,false,2023-07-27
66,125,Card,Dazzlesphere,337941291062403,734.6140909637,USD,false,2018-12-26
67,148,Card,Avaveo,340376017610208,3253.0740019626,USD,false,2020-01-12
68,134,Bank,Eire,3587574446197112,3925.8092289814,USD,true,2023-07-26
69,70,Card,Bubblebox,6759549680843767171,2814.7611607941,USD,true,2018-06-25
70,119,Card,Aimbo,6767002092769971,381.7658996854,USD,true,2020-03-31
71,89,e-Wallet,Roomm,3577883362882942,1128.763882534,USD,false,2020-10-29
